PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	DeVore, JD; Norsworthy, JK; Brye, KR				DeVore, Justin D.; Norsworthy, Jason K.; Brye, Kristofor R.			Influence of Deep Tillage and a Rye Cover Crop on Glyphosate-Resistant Palmer Amaranth (Amaranthus palmeri) Emergence in Cotton	WEED TECHNOLOGY																	Norsworthy, Jason/0000-0002-7379-6201												0890-037X					OCT-DEC	2012	26	4					832	838		10.1614/WT-D-12-00110.1							WOS:000312114100036						
J	Minarro, M				Minarro, M.			Weed communities in apple orchards under organic and conventional fertilization and tree-row management	CROP PROTECTION																													0261-2194	1873-6904				SEP	2012	39						89	96		10.1016/j.cropro.2012.04.002							WOS:000306873400014						
J	Hovick, SM; Gumuser, ED; Whitney, KD				Hovick, Stephen M.; Guemueser, Esra D.; Whitney, Kenneth D.			Community dominance patterns, not colonizer genetic diversity, drive colonization success in a test using grassland species	PLANT ECOLOGY																Whitney, Kenneth D/B-2971-2011; Hovick, Stephen/Y-1530-2019	Whitney, Kenneth D/0000-0002-2523-5469; Hovick, Stephen/0000-0003-1774-9686												1385-0237					SEP	2012	213	9					1365	1380		10.1007/s11258-012-0097-2							WOS:000307718300001						
J	Bohan, DA; Haughton, AJ				Bohan, D. A.; Haughton, A. J.			Effects of local landscape richness on in-field weed metrics across the Great Britain scale	AGRICULTURE ECOSYSTEMS & ENVIRONMENT																Bohan, David A/D-7992-2012; Haughton, Alison/A-7769-2013	Bohan, David A/0000-0001-5656-775X; Haughton, Alison/0000-0002-2852-5736												0167-8809					SEP 1	2012	158						208	215		10.1016/j.agee.2012.03.010							WOS:000307425700023						
J	Hindrum, L; Hovenden, MJ; Neyland, MG; Baker, SC				Hindrum, Liam; Hovenden, Mark J.; Neyland, Mark G.; Baker, Susan C.			The effects of mechanical disturbance and burn intensity on the floristic composition of two-year old aggregated retention coupes in Tasmanian wet eucalypt forests	FOREST ECOLOGY AND MANAGEMENT																Baker, Susan/F-9307-2011; Hovenden, Mark/A-1323-2008; Baker, Susan/O-8482-2019	Baker, Susan/0000-0002-7593-0267; Hovenden, Mark/0000-0001-7208-9700; Baker, Susan/0000-0002-7593-0267; Neyland, Mark/0000-0002-9755-9438												0378-1127	1872-7042				SEP 1	2012	279						55	65		10.1016/j.foreco.2012.05.003							WOS:000307092900007						
J	Zhu, YM; Li, YD; Colbach, N; Ma, KP; Wei, W; Mi, XC				Zhu, Y. M.; Li, Y. D.; Colbach, N.; Ma, K. P.; Wei, W.; Mi, X. C.			Seed losses at harvest and seed persistence of oilseed rape (Brassica napus) in different cultural conditions in Chinese farming systems	WEED RESEARCH																, Weiwei/B-2681-2008; Colbach, Nathalie/C-6677-2014	, Weiwei/0000-0002-1815-9314; Colbach, Nathalie/0000-0002-3791-037X												0043-1737					AUG	2012	52	4					317	326		10.1111/j.1365-3180.2012.00929.x							WOS:000305895000003						
J	Otto, S; Vasileiadis, VP; Masin, R; Zanin, G				Otto, S.; Vasileiadis, V. P.; Masin, R.; Zanin, G.			Evaluating weed diversity with indices of varying complexity in north-eastern Italy	WEED RESEARCH																	Otto, Stefan/0000-0002-4341-8517; Vasileiadis, Vasileios/0000-0002-5697-7078												0043-1737					AUG	2012	52	4					373	382		10.1111/j.1365-3180.2012.00921.x							WOS:000305895000009						
J	Borgy, B; Gaba, S; Petit, S; Reboud, X				Borgy, B.; Gaba, S.; Petit, S.; Reboud, X.			Non-random distribution of weed species abundance in arable fields	WEED RESEARCH																Gaba, Sabrina/N-8428-2013; Gaba, Sabrina/H-5240-2018; Petit, Sandrine/C-3310-2013	Gaba, Sabrina/0000-0002-7145-6713; Gaba, Sabrina/0000-0002-7145-6713; Petit, Sandrine/0000-0001-8781-8873												0043-1737	1365-3180				AUG	2012	52	4					383	389		10.1111/j.1365-3180.2012.00920.x							WOS:000305895000010						
J	Bagavathiannan, MV; Norsworthy, JK				Bagavathiannan, Muthukumar V.; Norsworthy, Jason K.			Late-Season Seed Production in Arable Weed Communities: Management Implications	WEED SCIENCE																	Norsworthy, Jason/0000-0002-7379-6201												0043-1745	1550-2759				JUL-SEP	2012	60	3					325	334		10.1614/WS-D-11-00222.1							WOS:000307137300001						
J	Mishra, JS; Singh, VP				Mishra, J. S.; Singh, V. P.			Tillage and weed control effects on productivity of a dry seeded rice-wheat system on a Vertisol in Central India	SOIL & TILLAGE RESEARCH																													0167-1987					JUL	2012	123						11	20		10.1016/j.still.2012.02.003							WOS:000305261300002						
J	Bagavathiannan, MV; Begg, GS; Gulden, RH; Van Acker, RC				Bagavathiannan, Muthukumar V.; Begg, Graham S.; Gulden, Robert H.; Van Acker, Rene C.			Modelling the Dynamics of Feral Alfalfa Populations and Its Management Implications	PLOS ONE																													1932-6203					JUN 29	2012	7	6							e39440	10.1371/journal.pone.0039440							WOS:000305892100050	22768079					
J	Vasileiadis, VP; Froud-Williams, RJ; Eleftherohorinos, IG				Vasileiadis, Vasileios P.; Froud-Williams, Robert J.; Eleftherohorinos, Ilias G.			Tillage and herbicide treatments with inter-row cultivation influence weed densities and yield of three industrial crops	WEED BIOLOGY AND MANAGEMENT																Eleftherohorinos, Ilias/AAE-1308-2019	Eleftherohorinos, Ilias/0000-0003-4074-8235; Vasileiadis, Vasileios/0000-0002-5697-7078												1444-6162					JUN	2012	12	2					84	90		10.1111/j.1445-6664.2012.00440.x							WOS:000305182400003						
J	Graziani, F; Onofri, A; Pannacci, E; Tei, F; Guiducci, M				Graziani, Federica; Onofri, Andrea; Pannacci, Euro; Tei, Francesco; Guiducci, Marcello			Size and composition of weed seedbank in long-term organic and conventional low-input cropping systems	EUROPEAN JOURNAL OF AGRONOMY																Guiducci, Marcello/N-6002-2015; ONOFRI, Andrea/D-1029-2016; PANNACCI, Euro/J-6972-2019; Guiducci, Marcello/AAF-1333-2019	Guiducci, Marcello/0000-0003-1888-4732; ONOFRI, Andrea/0000-0002-6603-329X; PANNACCI, Euro/0000-0003-0041-0563; Guiducci, Marcello/0000-0003-1888-4732; TEI, Francesco/0000-0003-0857-9662												1161-0301					MAY	2012	39						52	61		10.1016/j.eja.2012.01.008							WOS:000302447000006						
J	Fenu, G; Mattana, E; Bacchetta, G				Fenu, Giuseppe; Mattana, Efisio; Bacchetta, Gianluigi			Conservation of endemic insular plants: the genus Ribes L. (Grossulariaceae) in Sardinia	ORYX																Mattana, Efisio/H-7645-2019; Bacchetta, Gianluigi/AAD-5329-2020	Mattana, Efisio/0000-0001-6235-4603; BACCHETTA, GIANLUIGI/0000-0002-1714-3978; Fenu, Giuseppe/0000-0003-4762-5043												0030-6053					APR	2012	46	2					219	222		10.1017/S0030605311000809							WOS:000303837100015						
J	Datry, T; Corti, R; Philippe, M				Datry, Thibault; Corti, Roland; Philippe, Michel			Spatial and temporal aquatic-terrestrial transitions in the temporary Albarine River, France: responses of invertebrates to experimental rewetting	FRESHWATER BIOLOGY																	Corti, Roland/0000-0001-9548-1772												0046-5070					APR	2012	57	4					716	727		10.1111/j.1365-2427.2012.02737.x							WOS:000301227000008						
J	Webster, TM; Nichols, RL				Webster, Theodore M.; Nichols, Robert L.			Changes in the Prevalence of Weed Species in the Major Agronomic Crops of the Southern United States: 1994/1995 to 2008/2009	WEED SCIENCE																Webster, Theodore/A-4468-2009	Webster, Theodore/0000-0002-8259-2059												0043-1745	1550-2759				APR-JUN	2012	60	2					145	157		10.1614/WS-D-11-00092.1							WOS:000303425900002						
J	Peruzzi, A; Raffaelli, M; Frasconi, C; Fontanelli, M; Barberi, P				Peruzzi, A.; Raffaelli, M.; Frasconi, C.; Fontanelli, M.; Barberi, P.			Influence of an injection system on the effect of activated soil steaming on Brassica juncea and the natural weed seedbank	WEED RESEARCH																Raffaelli, Michele/H-4280-2013													0043-1737					APR	2012	52	2					140	152		10.1111/j.1365-3180.2011.00901.x							WOS:000301124900005						
J	Schwilk, DW; Keeley, JE				Schwilk, Dylan W.; Keeley, Jon E.			A Plant Distribution Shift: Temperature, Drought or Past Disturbance?	PLOS ONE																													1932-6203					FEB 10	2012	7	2							e31173	10.1371/journal.pone.0031173							WOS:000302730900021	22348051					
J	Agrama, HA; McClung, AM; Yan, WG				Agrama, Hesham A.; McClung, Anna M.; Yan, WenGui			Using minimum DNA marker loci for accurate population classification in rice (Oryza sativa L.)	MOLECULAR BREEDING																													1380-3743	1572-9788				FEB	2012	29	2					413	425		10.1007/s11032-011-9558-x							WOS:000300315800011						
J	McKee, SE; Aust, WM; Seiler, JR; Strahm, BD; Schilling, EB				McKee, S. E.; Aust, W. M.; Seiler, J. R.; Strahm, B. D.; Schilling, E. B.			Long-term site productivity of a tupelo-cypress swamp 24 years after harvesting disturbances	FOREST ECOLOGY AND MANAGEMENT																													0378-1127	1872-7042				FEB 1	2012	265						172	180		10.1016/j.foreco.2011.10.019							WOS:000299981900019						
J	Toorop, PE; Cuerva, RC; Begg, GS; Locardi, B; Squire, GR; Iannetta, PPM				Toorop, Peter E.; Cuerva, Rafael Campos; Begg, Graham S.; Locardi, Bruna; Squire, Geoff R.; Iannetta, Pietro P. M.			Co-adaptation of seed dormancy and flowering time in the arable weed Capsella bursa-pastoris (shepherd's purse)	ANNALS OF BOTANY																Toorop, Peter E/F-4072-2015; Iannetta, Pietro/L-1231-2016; Iannetta, Pietro/F-2451-2011; Yanfang, Li/C-2564-2012; Iannetta, Pietro Paolo Michele/AAD-2091-2019; CAMPOS, RAFAEL/S-1086-2019	Toorop, Peter E/0000-0002-9328-9733; Iannetta, Pietro/0000-0002-3451-4259; Iannetta, Pietro Paolo Michele/0000-0002-3451-4259; CAMPOS, RAFAEL/0000-0002-4731-1055												0305-7364	1095-8290				FEB	2012	109	2					481	489		10.1093/aob/mcr301							WOS:000300042800015	22147546					
J	Wainwright, CE; Wolkovich, EM; Cleland, EE				Wainwright, Claire E.; Wolkovich, Elizabeth M.; Cleland, Elsa E.			Seasonal priority effects: implications for invasion and restoration in a semi-arid system	JOURNAL OF APPLIED ECOLOGY																	Cleland, Elsa/0000-0003-3920-0029; Wainwright, Claire/0000-0002-3248-5482												0021-8901	1365-2664				FEB	2012	49	1					234	241		10.1111/j.1365-2664.2011.02088.x							WOS:000299153800027						
J	Cooke, J; Ash, JE; Groves, RH				Cooke, J.; Ash, J. E.; Groves, R. H.			Population dynamics of the invasive, annual species, Carrichtera annua, in Australia	RANGELAND JOURNAL																Cooke, Julia/H-4127-2011	Cooke, Julia/0000-0002-3178-0674												1036-9872						2012	34	4					375	387		10.1071/RJ12027							WOS:000312390200005						
J	Loi, A; Nutt, BJ; Howieson, JG; Yates, RJ; Norman, HC				Loi, Angelo; Nutt, Brad J.; Howieson, John G.; Yates, Ron. J.; Norman, Hayley C.			Preliminary assessment of bladder clover (Trifolium spumosum L.) as an annual legume for ley farming systems in southern Australia	CROP & PASTURE SCIENCE																Norman, Hayley C/B-9808-2008	Norman, Hayley C/0000-0002-2660-9573												1836-0947						2012	63	6					582	591		10.1071/CP11337							WOS:000308876900009						
J	Weekley, CW; Menges, ES				Weekley, Carl W.; Menges, Eric S.			Burning creates contrasting demographic patterns in Polygala lewtonii (Polygalaceae): a cradle-to-grave analysis of multiple cohorts in a perennial herb	AUSTRALIAN JOURNAL OF BOTANY																													0067-1924						2012	60	4					347	357		10.1071/BT11271							WOS:000305623900007						
J	Boczkowska, MK; Puchalski, J				Boczkowska, M. K.; Puchalski, J.			SSR studies of genetic changes in relation to long-term storage and field regeneration of rye (Secale cereale) seeds	SEED SCIENCE AND TECHNOLOGY																Boczkowska, Maja/J-3654-2019	Boczkowska, Maja/0000-0001-8691-410X												0251-0952						2012	40	1					63	72		10.15258/sst.2012.40.1.07							WOS:000304519400007						
J	King, JR; Conway, WC; Rosen, DJ; Oswald, BP				King, Jonathan R.; Conway, Warren C.; Rosen, David J.; Oswald, Brian P.			Seed biomass production and germination rates of Cyperus entrerianus	JOURNAL OF THE TORREY BOTANICAL SOCIETY																													1095-5674					JAN-MAR	2012	139	1					76	85		10.3159/TORREY-D-11-00077.1							WOS:000303902900008						
J	Renz, MJ; Steinmaus, SJ; Gilmer, DS; DiTomaso, JM				Renz, Mark J.; Steinmaus, Scott J.; Gilmer, David S.; DiTomaso, Joseph M.			Spread Dynamics of Perennial Pepperweed (Lepidium latifolium) in Two Seasonal Wetland Areas	INVASIVE PLANT SCIENCE AND MANAGEMENT																													1939-7291	1939-747X				JAN-MAR	2012	5	1					57	68		10.1614/IPSM-D-11-00039.1							WOS:000302200500007						
J	Srinivasan, MP; Kalita, R; Gurung, IK; Bhattacharjee, SK; Antony, PM; Krishnan, S; Gleeson, SK				Srinivasan, Madhusudan P.; Kalita, Ratul; Gurung, Inder K.; Bhattacharjee, Saroj K.; Antony, Predit M.; Krishnan, Suresh; Gleeson, Scott K.			Seedling germination success and survival of the invasive shrub Scotch broom (Cytisus scoparius) in response to fire and experimental clipping in the montane grasslands of the Nilgiris, south India	ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY																													1146-609X	1873-6238				JAN	2012	38						41	48		10.1016/j.actao.2011.09.002							WOS:000299907300006						
J	Brainard, DC; Bakker, J; Noyes, DC; Myers, N				Brainard, Daniel C.; Bakker, John; Noyes, D. Corey; Myers, Norm			Rye Living Mulch Effects on Soil Moisture and Weeds in Asparagus	HORTSCIENCE																													0018-5345					JAN	2012	47	1					58	63		10.21273/HORTSCI.47.1.58							WOS:000299659400009						
J	Matzek, V; Hill, S				Matzek, Virginia; Hill, Shannon			Response of Biomass and Seedbanks of Rangeland Functional Groups to Mechanical Control of Yellow Starthistle	RANGELAND ECOLOGY & MANAGEMENT																													1550-7424					JAN	2012	65	1					96	100		10.2111/REM-D-11-00013.1							WOS:000299604800011						
J	Stanton, R; Wu, HW; Lemerle, D				Stanton, Rex; Wu, Hanwen; Lemerle, Deirdre			Factors Affecting Silverleaf Nightshade (Solanum elaeagnifolium) Germination	WEED SCIENCE																Wu, Hanwen/B-7901-2010	Wu, Hanwen/0000-0001-5157-4977												0043-1745					JAN-MAR	2012	60	1					42	47		10.1614/WS-D-11-00105.1							WOS:000299668200007						
J	Pakeman, RJ; Small, JL; Torvell, L				Pakeman, Robin J.; Small, James L.; Torvell, Lynne			Edaphic factors influence the longevity of seeds in the soil	PLANT ECOLOGY																Pakeman, Robin Jeffrey/P-7338-2015	Pakeman, Robin Jeffrey/0000-0001-6248-4133												1385-0237					JAN	2012	213	1					57	65		10.1007/s11258-011-0006-0							WOS:000298331300006						
J	Bohan, DA; Caron-Lormier, G; Muggleton, S; Raybould, A; Tamaddoni-Nezhad, A				Bohan, David A.; Caron-Lormier, Geoffrey; Muggleton, Stephen; Raybould, Alan; Tamaddoni-Nezhad, Alireza			Automated Discovery of Food Webs from Ecological Data Using Logic-Based Machine Learning	PLOS ONE																Bohan, David A/D-7992-2012; Caron-Lormier, Geoffrey/B-6677-2009	Bohan, David A/0000-0001-5656-775X; 												1932-6203					DEC 29	2011	6	12							e29028	10.1371/journal.pone.0029028							WOS:000300677000013	22242111					
J	Davis, AS; Daedlow, D; Schutte, BJ; Westerman, PR				Davis, Adam S.; Daedlow, Daniel; Schutte, Brian J.; Westerman, Paula R.			Temporal scaling of episodic point estimates of seed predation to long-term predation rates	METHODS IN ECOLOGY AND EVOLUTION																Westerman, Paula/K-6427-2012	Davis, Adam/0000-0002-7196-1197; westerman, paula/0000-0002-1012-7828												2041-210X	2041-2096				DEC	2011	2	6					682	690		10.1111/j.2041-210X.2011.00119.x							WOS:000298090100013						
J	Jose-Maria, L; Sans, FX				Jose-Maria, L.; Sans, F. X.			Weed seedbanks in arable fields: effects of management practices and surrounding landscape	WEED RESEARCH																Serra, F. Xavier F.X. Sans Sans/D-4958-2014	Serra, F. Xavier F.X. Sans Sans/0000-0001-9407-7751												0043-1737					DEC	2011	51	6					631	640		10.1111/j.1365-3180.2011.00872.x							WOS:000297286000011						
J	Huntzinger, M; Karban, R; Maron, JL				Huntzinger, Mikaela; Karban, Richard; Maron, John L.			Small mammals cause non-trophic effects on habitat and associated snails in a native system	OECOLOGIA																													0029-8549					DEC	2011	167	4					1085	1091		10.1007/s00442-011-2054-5							WOS:000297133800020	21691854					
J	Harris, MPK; Allen, KA; McAllister, HA; Eyre, G; Le Duc, MG; Marrs, RH				Harris, Mike P. K.; Allen, Katherine A.; McAllister, Hugh A.; Eyre, Geoff; Le Duc, Mike G.; Marrs, Rob H.			Factors affecting moorland plant communities and component species in relation to prescribed burning	JOURNAL OF APPLIED ECOLOGY																	Allen, Katherine/0000-0003-3270-5817												0021-8901					DEC	2011	48	6					1411	1421		10.1111/j.1365-2664.2011.02052.x							WOS:000297416300011						
J	Boutin, C; Dobbie, T; Carpenter, D; Hebert, CE				Boutin, Celine; Dobbie, Tammy; Carpenter, David; Hebert, Craig E.			Effects of Double-Crested Cormorants (Phalacrocorax auritus Less.) on Island Vegetation, Seedbank, and Soil Chemistry: Evaluating Island Restoration Potential	RESTORATION ECOLOGY																													1061-2971					NOV	2011	19	6					720	727		10.1111/j.1526-100X.2010.00769.x							WOS:000297078600008						
J	Raulings, EJ; Morris, K; Roache, MC; Boon, PI				Raulings, Elisa J.; Morris, Kay; Roache, Michael C.; Boon, Paul I.			Is hydrological manipulation an effective management tool for rehabilitating chronically flooded, brackish-water wetlands?	FRESHWATER BIOLOGY																													0046-5070					NOV	2011	56	11					2347	2369		10.1111/j.1365-2427.2011.02650.x							WOS:000296061400012						
J	Laing, JM; Shear, TH; Blazich, FA				Laing, Joelle M.; Shear, Theodore H.; Blazich, Frank A.			How management strategies have affected Atlantic White-cedar forest recovery after massive wind damage in the Great Dismal Swamp	FOREST ECOLOGY AND MANAGEMENT																													0378-1127					OCT 15	2011	262	8					1337	1344		10.1016/j.foreco.2011.06.026							WOS:000295297300002						
J	Kandari, LS; Kulkarni, MG; Van Staden, J				Kandari, Laxman S.; Kulkarni, Manoj G.; Van Staden, Johannes			Effect of Nutrients and Smoke Solutions on Seed Germination and Seedling Growth of Tropical Soda Apple (Solanum viarum)	WEED SCIENCE																													0043-1745					OCT-DEC	2011	59	4					470	475		10.1614/WS-D-10-00108.1							WOS:000296026400004						
J	Boyd, NS; Hughes, A				Boyd, N. S.; Hughes, A.			Germination and Emergence Characteristics of Spreading Dogbane (Apocynum androsaemifolium)	WEED SCIENCE																													0043-1745					OCT-DEC	2011	59	4					533	537		10.1614/WS-D-11-00022.1							WOS:000296026400014						
J	Gulden, RH; Lewis, DW; Froese, JC; Van Acker, RC; Martens, GB; Entz, MH; Derksen, DA; Bell, LW				Gulden, Robert H.; Lewis, Derek W.; Froese, Jane C.; Van Acker, Rene C.; Martens, Gary B.; Entz, Martin H.; Derksen, Doug A.; Bell, Lindsay W.			The Effect of Rotation and In-Crop Weed Management on the Germinable Weed Seedbank after 10 Years	WEED SCIENCE																Bell, Lindsay/B-9769-2008; Entz, Martin/AAH-7002-2019	Bell, Lindsay/0000-0002-5064-2947												0043-1745					OCT-DEC	2011	59	4					553	561		10.1614/WS-D-11-00001.1							WOS:000296026400017						
J	Salonen, J; Hyvonen, T; Jalli, H				Salonen, Jukka; Hyvonen, Terho; Jalli, Heikki			Composition of weed flora in spring cereals in Finland - a fourth survey	AGRICULTURAL AND FOOD SCIENCE																													1459-6067	1795-1895				SEP	2011	20	3					245	261									WOS:000297736300006						
J	Nord, EA; Curran, WS; Mortensen, DA; Mirsky, SB; Jones, BP				Nord, E. A.; Curran, W. S.; Mortensen, D. A.; Mirsky, S. B.; Jones, B. P.			Integrating Multiple Tactics for Managing Weeds in High Residue No-Till Soybean	AGRONOMY JOURNAL																													0002-1962					SEP-OCT	2011	103	5					1542	1551		10.2134/agronj2011.0024							WOS:000294483400030						
J	van Overbeek, LS; Franke, AC; Nijhuis, EHM; Groeneveld, RMW; da Rocha, UN; Lotz, LAP				van Overbeek, Leonard S.; Franke, Angelinus C.; Nijhuis, Els H. M.; Groeneveld, Roel M. W.; da Rocha, Ulisses Nunes; Lotz, Lambertus A. P.			Bacterial Communities Associated with Chenopodium album and Stellaria media Seeds from Arable Soils	MICROBIAL ECOLOGY																Nunes da Rocha, Ulisses/M-7467-2013; Franke, Linus/AAF-4797-2019	Nunes da Rocha, Ulisses/0000-0001-6972-6692; 												0095-3628	1432-184X				AUG	2011	62	2					257	264		10.1007/s00248-011-9845-4							WOS:000293964000002	21424277					
J	Bohan, DA; Boursault, A; Brooks, DR; Petit, S				Bohan, David A.; Boursault, Aline; Brooks, David R.; Petit, Sandrine			National-scale regulation of the weed seedbank by carabid predators	JOURNAL OF APPLIED ECOLOGY																Bohan, David A/D-7992-2012; Petit, Sandrine/C-3310-2013	Bohan, David A/0000-0001-5656-775X; Petit, Sandrine/0000-0001-8781-8873												0021-8901					AUG	2011	48	4					888	898		10.1111/j.1365-2664.2011.02008.x							WOS:000292331100009						
J	Sans, FX; Berner, A; Armengot, L; Mader, P				Sans, F. X.; Berner, A.; Armengot, L.; Maeder, P.			Tillage effects on weed communities in an organic winter wheat-sunflower-spelt cropping sequence	WEED RESEARCH																Serra, F. Xavier F.X. Sans Sans/D-4958-2014; Armengot, Laura/K-8209-2017	Serra, F. Xavier F.X. Sans Sans/0000-0001-9407-7751; Armengot, Laura/0000-0002-9820-9667												0043-1737					AUG	2011	51	4					413	421		10.1111/j.1365-3180.2011.00859.x							WOS:000292566600010						
J	Bohan, DA; Powers, SJ; Champion, G; Haughton, AJ; Hawes, C; Squire, G; Cussans, J; Mertens, SK				Bohan, D. A.; Powers, S. J.; Champion, G.; Haughton, A. J.; Hawes, C.; Squire, G.; Cussans, J.; Mertens, S. K.			Modelling rotations: can crop sequences explain arable weed seedbank abundance?	WEED RESEARCH																Bohan, David A/D-7992-2012; Haughton, Alison/A-7769-2013	Bohan, David A/0000-0001-5656-775X; Haughton, Alison/0000-0002-2852-5736												0043-1737	1365-3180				AUG	2011	51	4					422	432		10.1111/j.1365-3180.2011.00860.x							WOS:000292566600011						
J	Brainard, DC; Bellinder, RR; Kumar, V				Brainard, Daniel C.; Bellinder, Robin R.; Kumar, Virender			Grass-Legume Mixtures and Soil Fertility Affect Cover Crop Performance and Weed Seed Production	WEED TECHNOLOGY																													0890-037X	1550-2740				JUL-SEP	2011	25	3					473	479		10.1614/WT-D-10-00134.1							WOS:000294212600026						
J	Bagavathiannan, MV; Norsworthy, JK; Smith, KL; Burgos, N				Bagavathiannan, Muthukumar V.; Norsworthy, Jason K.; Smith, Kenneth L.; Burgos, Nilda			Seedbank Size and Emergence Pattern of Barnyardgrass (Echinochloa crus-galli) in Arkansas	WEED SCIENCE																	Norsworthy, Jason/0000-0002-7379-6201												0043-1745	1550-2759				JUL-SEP	2011	59	3					359	365		10.1614/WS-D-10-00149.1							WOS:000292658300014						
J	Shaw, DR; Owen, MDK; Dixon, PM; Weller, SC; Young, BG; Wilson, RG; Jordan, DL				Shaw, David R.; Owen, Micheal D. K.; Dixon, Philip M.; Weller, Stephen C.; Young, Bryan G.; Wilson, Robert G.; Jordan, David L.			Benchmark study on glyphosate-resistant cropping systems in the United States. Part 1: Introduction to 2006-2008	PEST MANAGEMENT SCIENCE																Dixon, Philip Michael/I-4843-2019	Dixon, Philip Michael/0000-0002-1778-0686												1526-498X					JUL	2011	67	7					741	746		10.1002/ps.2160							WOS:000292411800001	21674750					
J	Wilson, RG; Young, BG; Matthews, JL; Weller, SC; Johnson, WG; Jordan, DL; Owen, MDK; Dixon, PM; Shaw, DR				Wilson, Robert G.; Young, Bryan G.; Matthews, Joseph L.; Weller, Stephen C.; Johnson, William G.; Jordan, David L.; Owen, Micheal D. K.; Dixon, Philip M.; Shaw, David R.			Benchmark study on glyphosate-resistant cropping systems in the United States. Part 4: Weed management practices and effects on weed populations and soil seedbanks	PEST MANAGEMENT SCIENCE																Dixon, Philip Michael/I-4843-2019	Dixon, Philip Michael/0000-0002-1778-0686												1526-498X					JUL	2011	67	7					771	780		10.1002/ps.2176							WOS:000292411800004	21520485					
J	Reuter, H; Schmidt, G; Schroder, W; Middelhoff, U; Pehlke, H; Breckling, B				Reuter, Hauke; Schmidt, Gunther; Schroeder, Winfried; Middelhoff, Ulrike; Pehlke, Hendrik; Breckling, Broder			Regional distribution of genetically modified organisms (GMOs)-Up-scaling the dispersal and persistence potential of herbicide resistant oilseed rape (Brassisca napus)	ECOLOGICAL INDICATORS																	Pehlke, Hendrik/0000-0003-1916-7831												1470-160X					JUL	2011	11	4			SI		989	999		10.1016/j.ecolind.2009.03.007							WOS:000289324200007						
J	Ferguson, I				Ferguson, Ian			Strategic seedbanks to meet fire risks for Victorian ash-type species	AUSTRALIAN FORESTRY																	Ferguson, Ian/0000-0003-4930-9765												0004-9158					JUN	2011	74	2					97	107		10.1080/00049158.2011.10676351							WOS:000297979100003						
J	Konstantinovic, B; Meseldzija, M; Korac, M; Konstantinovic, B				Konstantinovic, Branko; Meseldzija, Maja; Korac, Milena; Konstantinovic, Bojan			Study of weed seedbank in soybean crop	AFRICAN JOURNAL OF AGRICULTURAL RESEARCH																													1991-637X					MAY 18	2011	6	10					2316	2320									WOS:000292269500026						
J	Seerey, N; Shirtliffe, SJ; Hucl, P				Seerey, Nicole; Shirtliffe, S. J.; Hucl, Pierre			Seeds from unthreshed wheat (Triticum aestivum L.) spikes have reduced field emergence compared with threshed seed regardless of cultivar	CANADIAN JOURNAL OF PLANT SCIENCE																													0008-4220					MAY	2011	91	3					583	585		10.4141/CJPS10072							WOS:000290837700017						
J	Emery, SM; Uwimbabazi, J; Flory, SL				Emery, Sarah M.; Uwimbabazi, Joy; Flory, S. Luke			Fire intensity effects on seed germination of native and invasive Eastern deciduous forest understory plants	FOREST ECOLOGY AND MANAGEMENT																													0378-1127					APR 15	2011	261	8					1401	1408		10.1016/j.foreco.2011.01.024							WOS:000289129800006						
J	Turner, PJ; Scott, JK; Spafford, H				Turner, Peter J.; Scott, John K.; Spafford, Helen			Bridal Creeper (Asparagus asparagoides)-Invaded Sites with Elevated Levels of Available Soil Nutrients: Barrier to Restoration?	INVASIVE PLANT SCIENCE AND MANAGEMENT																Scott, John/C-1061-2009	Scott, John/0000-0002-8303-9706												1939-7291					APR-JUN	2011	4	2					212	222		10.1614/IPSM-D-10-00032.1							WOS:000292225000006						
J	Grundy, AC; Mead, A; Bond, W; Clark, G; Burston, S				Grundy, A. C.; Mead, A.; Bond, W.; Clark, G.; Burston, S.			The impact of herbicide management on long-term changes in the diversity and species composition of weed populations	WEED RESEARCH																	Mead, Andrew/0000-0002-4909-8235												0043-1737	1365-3180				APR	2011	51	2					187	200		10.1111/j.1365-3180.2010.00831.x							WOS:000288450600010						
J	Godfree, R; Lepschi, B; Reside, A; Bolger, T; Robertson, B; Marshall, D; Carnegie, M				Godfree, Robert; Lepschi, Brendan; Reside, April; Bolger, Terry; Robertson, Bruce; Marshall, David; Carnegie, Malcolm			Multiscale topoedaphic heterogeneity increases resilience and resistance of a dominant grassland species to extreme drought and climate change	GLOBAL CHANGE BIOLOGY																Godfree, Robert C/J-8363-2012; Reside, April/H-4940-2011; Lepschi, Brendan J/I-5376-2012	Reside, April/0000-0002-0760-9527; 												1354-1013	1365-2486				FEB	2011	17	2					943	958		10.1111/j.1365-2486.2010.02292.x							WOS:000285878000022						
